"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52"
"KLHL21",669.490545734448,171.889189479215,-156.932498326494,277.890910278328,38.256752474014,257.910493996809,239.59226442229,-322.32023221791,53.0975035577963,20.0224531299016,-25.649820044282,72.6397293523671,25.9277978520976,6.00629266562122,-168.891624153381,-89.7203532776773,-80.5789880198086,-46.2234371471641,97.7995424850006,135.027791599623,13.2074218801121,-67.9146369505031,-55.1378155993782,-35.6915471087529,-124.505098505942,53.739915623902,24.9358422541028,-14.7510549375488,-12.3544409149285,-79.9385878996532,107.450353322786,-54.0450529533229,-26.9278955929973,-0.474604519762748,47.9056034266573,4.49236035762668,-34.4853083974793,-104.699603861371,121.859355296522,-141.791373139714,82.8629931676509,-67.083426002393,-55.966097197881,47.4524923792142,-8.17381979348926,51.3986719544008,37.5618402197288,-29.6217317587252,-11.1549918780173,-39.4440843939358,38.5598815790009,45.1395417843794
"PLOD1",1495.1831741819,951.555643157438,70.1250356059427,704.912985072319,179.980083828723,1423.81737549407,-330.984526909486,-655.959301522433,60.6670800136757,105.448174650232,233.997585298933,330.683591181356,759.713049319556,-797.933776737221,397.957556374003,-1871.98418322044,-557.542172450672,-757.292179514162,76.1781138795284,74.7134355640322,-149.694768127605,-465.612912695824,-61.5019802249913,-139.406678862644,128.289716986448,-140.984502376443,180.750026228569,-73.4173499397176,-123.308184474829,245.109955153898,207.47760062456,-47.067785684402,-3.99413689006637,64.2875240618008,-191.759020410456,-148.966166912194,-26.1596323506442,179.57305671494,-273.528117748595,-33.5068711306699,-39.2005672608741,109.251486535444,-187.878679603953,-45.5438053805944,31.4921299167085,74.3166958917865,-92.1144870140627,-243.81420268148,-94.0189156999106,250.103016269872,-24.0726086568534,-11.7260378881129
"RHBDL2",174.238719629912,146.417354290268,24.0426217805561,56.1058638657032,17.2898139172973,148.107673530289,-34.5437767013886,-43.1467484215077,23.1333883558928,20.0808285715868,67.5923513709579,39.4125827186795,120.418131415507,-177.129112143402,101.16884264595,-273.143973073709,-66.4013189227419,-84.9945139223933,2.20952824246481,-33.5944401230765,-96.3010850434212,-92.9065905239534,0.0559351639448514,-2.62257408659461,25.1266303793991,-50.5792063113801,22.8600473588864,67.0868689990098,-8.67194493060519,69.7556693126381,84.1266533956557,-42.7382987367499,48.5480187520253,6.27093751505353,69.5071386699699,-12.3308915682412,17.6736225628073,-16.1675261953278,-29.3525941478559,-16.7434682738287,34.466638359363,43.363829412697,-17.5004138829166,-50.8691901948884,-28.8731000263835,9.63379272262035,-21.3549020199524,-11.9169921919257,-92.0208511870596,19.0406000124257,-50.6919775467278,61.9803355190739
"SERBP1",16157.6439810751,6896.72569530393,1036.03246516725,1895.26936437893,417.521076871898,1089.71910793784,3472.20095656733,-2558.62898950741,-1342.43870436096,681.697685933416,1721.20126047333,625.419343728,-2571.31861543751,-171.342730698311,-463.05717867202,818.529814021028,-336.382148310505,-1272.48529350333,2.67358814719536,913.934991475072,300.480501094277,-517.323950514203,164.079849812987,-1248.89370663711,805.604142693059,598.060962931615,-257.458066664896,274.738969713403,-943.715473965591,-275.89254877632,-1064.70027473676,-408.956419192052,-539.576318237028,873.68552129573,1519.75820835294,-1011.15640155239,-12.2676668142297,-1756.28197291371,-1443.1822687783,191.341306074826,-463.139779343723,-563.089987554199,168.250584566993,-386.702763147882,212.906817254317,-773.734708075798,788.807871287991,-245.829748540471,-2064.33682541107,1952.50516195142,1435.92286846588,2036.82687020446
"BCAR3",529.47070957902,140.771067853797,-6.51925754492107,190.520140698596,31.4713161161604,248.870295271851,-75.4622318068568,-391.433843958667,-188.285258481166,24.8003696819684,-64.0291553368444,-91.5856215223415,44.3255079974705,79.9680833945098,-43.2672239456127,142.122546848748,56.4330320335857,-51.6659987267735,-194.125516936425,205.845834462302,-128.823866268648,-46.0758087847921,-52.3558779779545,175.099583649067,2.55524527180138,68.3690011634607,-376.820770755268,61.068930198939,-76.7138823063248,65.6923607773963,-175.969593195872,-75.2246477485992,42.9986474524028,51.1934920654758,-83.9996531943256,82.2554762940296,-31.1096610762692,61.2042551745801,-53.2262022856913,53.8431647239058,-71.9566904681644,-46.4167537166104,-176.118752264144,-95.7884578664284,63.770449621904,-91.4445682762122,-55.2964053277547,9.00535412681644,202.545205910458,23.7545198738565,-56.5072394788011,-34.3323226217177
"FAM46C",270.297967500471,387.888987503595,-1850.82966349742,92.1654124918504,-304.09894534931,23.7792361555368,-63.3844259122202,-75.1392055080951,323.725604862296,1180.26146935104,34.403995453224,-37.6683965669249,159.961565731096,-312.860291015278,-511.395824127702,-60.7072313284387,-15.2694244360967,31.5195135106427,49.1305780551671,8.00386330534102,-15.6922708620159,-91.1177933802512,-11.5308579131923,-52.3836581584779,-0.667878345536813,17.6516937213649,14.2414798429984,-11.2722810664385,-0.2416924241703,-74.9520885591553,2.0151011576554,1.17865203486062,19.5239187318039,-18.7418731662965,74.7586127457334,55.2156012931573,-118.534482065607,155.218999630371,-213.534367955522,-2.09441675319406,-176.339543068905,-482.259445348647,584.235991137636,-140.011815418308,-493.216034854895,386.921237770066,99.1745793846946,12.5217717227333,289.729765158996,210.14825393445,-171.456264938704,-117.251515587701
"CERS2",1505.65772413887,495.335257819581,-61.2163798326598,497.132260412451,54.4985657876718,412.545550682354,-39.6465501472989,-514.627253815132,-229.26045227344,94.6558477601572,-0.83411696699162,324.679493792311,-44.0858528803739,23.1564633246791,-249.357061420553,-237.497117230011,-63.1175028124291,-323.015833766135,-146.124287552012,46.692298821489,59.7977451878485,-123.063382680356,-82.6503920384341,111.226147223657,34.3459602561677,232.572973246807,-61.7865757180094,-259.637143194078,-5.89926677068742,-270.707577290148,-176.006897001893,101.602722068937,87.8332012009095,88.7861795889507,149.142901438981,-91.8146389895961,75.6577360851767,137.427119455365,89.1706809956759,20.6605840822732,173.897031401632,-27.9633859580629,214.223119638187,133.539284044509,95.863970608794,34.7428949249678,21.2278355936666,-164.508802898847,233.348951076745,127.622733293007,158.696384003546,-101.029230180281
"INSRR",22.0791566426813,17.3700328623493,0.74622088200512,16.9747083935288,-0.24547951972719,-12.6089720197016,17.8255866783923,-5.1326472353016,-20.7107166969417,11.4222764831533,13.6980821037648,-0.403038078812931,10.2745316806522,9.94872398210111,4.31200350589687,9.36606755806563,-6.18720519095437,-8.13227011896969,-10.751458279972,7.22196758910979,16.9843488602341,-2.58443030351997,-10.4088453543857,6.36292079328622,12.172996686911,3.20134587862999,5.29336769376948,-0.279916840147336,4.99177510764317,-1.8833959530732,2.92408172942108,-8.38957633751752,6.0022461097042,-31.4099229211564,-2.19312331994139,-12.2813979588824,-5.17928016618911,3.41551063205358,6.15844279629307,-0.475053291287385,2.5892738129941,0.74545840983394,-1.18680560412646,5.13336906422179,3.97833831886092,-4.01181815629962,4.50607999664983,9.3039926124415,4.73581013857321,3.55598284553488,-1.94378750559766,2.99506747826786
"LMX1A",1999.80877441879,771.340872597821,190.865203648909,281.986917018599,78.5860890259457,-267.825206637475,646.507207371863,425.128712205392,-211.537891458716,66.9534068641709,576.176360284194,-101.894276551398,-984.314922521902,97.3145205401485,-87.1320037265116,251.536205927893,275.844153124168,-74.2236106476703,-33.8740443649257,158.156592591816,-283.381089722213,-188.922350745395,-299.950564351463,231.268995335438,-182.799828615813,11.8759333841365,-150.408933829953,-380.40626012048,-252.703057830352,126.018317553384,-140.708266613287,-12.9614574964068,48.2746717868989,-182.984033795855,-113.293707547863,-11.7091034116033,43.777972143576,27.4902465761536,-52.064430074866,116.799794041855,320.551665683489,51.7777703557302,-68.34662313378,-307.805795514729,-166.622932827354,61.1963735981999,-137.821990262535,-217.900637716663,-234.233670204402,171.763688413262,-27.3948228221738,-188.821907436157
"SELP",14.6240286287576,7.13945878217518,1.65195988948292,11.5815938316307,2.10333286513984,4.25297786081323,5.7821841224906,-4.34206185314562,5.20290719029693,1.97531093471019,7.40004011464817,8.33950352578472,-8.62250718105333,-9.24383285521048,4.13788510575778,1.60006762665722,-2.5988914611827,15.8321126649605,-6.83504503136394,-1.23326969086471,3.92974065618603,5.89015032621497,1.93574323992866,-2.99230901083884,-2.76955636298758,9.34187855643635,-4.36905887105655,-0.343513815521807,-0.589055730480775,-9.67418799803287,6.5460055015563,3.14737815152664,3.75075870048031,-8.7043512570117,15.5054965060926,-4.96556602196358,-12.2024865903402,-4.27100182922602,3.76442026548949,-5.57864453970663,-3.56996836869463,-8.55729001888171,-6.24395632533406,7.14342560278016,8.21458389974507,4.3835231482133,-0.278261323853442,-11.4954211309688,3.25493183574044,7.66993768729895,-0.335566442627883,-2.98008120660157
